Date,Open_^FTSE,High_^FTSE,Low_^FTSE,Close_^FTSE,Volume_^FTSE,ret,vol,vol_ann,ret2,ret_mean,regime_gmm,regime_kmeans,regime_raw,regime,regime_change,high_risk_flag,position,strategy_ret
2006-02-01,5760.2998046875,5816.0,5746.2001953125,5801.60009765625,2144570600,0.007144235632846829,0.006115864833979979,0.09708634441677813,5.1040102777638335e-05,0.000996117906433809,0,0,0,0,True,0,1.0,0.007144235632846829
2006-02-02,5801.60009765625,5811.7998046875,5743.0,5747.2998046875,1969273900,-0.009403613082788809,0.006411107661588522,0.10177317900614445,8.842793901079684e-05,0.00027170593776972734,1,0,0,0,False,0,1.0,-0.009403613082788809
2006-02-03,5747.2998046875,5766.7001953125,5728.2001953125,5759.2998046875,1728166400,0.0020857603041335437,0.0063418191087663165,0.10067325732931774,4.350396046299253e-06,0.0005664166239045003,0,0,0,0,False,0,1.0,0.0020857603041335437
2006-02-06,5759.2998046875,5790.39990234375,5759.2998046875,5772.39990234375,1681635300,0.0022720160296145764,0.006178068921066469,0.09807380368655406,5.162056838825584e-06,0.00033611134358867476,0,0,0,0,False,0,1.0,0.0022720160296145764
2006-02-07,5772.39990234375,5781.2998046875,5734.7001953125,5746.7998046875,2042239100,-0.004444777493874952,0.006265612455860937,0.09946351421830023,1.9756046970057298e-05,0.00012694607596154737,0,0,0,0,False,0,1.0,-0.004444777493874952
2006-02-08,5746.7998046875,5746.7998046875,5681.89990234375,5725.10009765625,2141978700,-0.0037831105738970194,0.006090818962614811,0.09668875353477124,1.4311925614331436e-05,0.0003028923018983202,0,0,0,0,False,0,1.0,-0.0037831105738970194
2006-02-09,5725.10009765625,5808.89990234375,5725.10009765625,5808.7998046875,2138982600,0.014513941866121982,0.006671117490405325,0.10590070707903486,0.00021065450849316845,0.0006379380422579741,1,0,0,0,False,0,1.0,0.014513941866121982
2006-02-10,5808.7001953125,5808.7001953125,5764.10009765625,5764.10009765625,2058495100,-0.007724931468262142,0.0069162034762331424,0.1097913264889999,5.967456618934669e-05,0.00023935173240535469,1,0,0,0,False,0,1.0,-0.007724931468262142
2006-02-13,5764.10009765625,5793.5,5760.2998046875,5793.5,1369455700,0.005087555462896631,0.006914071920481446,0.10975748909045195,2.5883220588049355e-05,0.0006829742748692017,0,0,0,0,False,0,1.0,0.005087555462896631
2006-02-14,5793.5,5828.60009765625,5773.7001953125,5792.2998046875,1706179500,-0.0002071838521331415,0.006841159698728,0.10860004345267109,4.292514858472744e-08,0.00043025374511546354,0,0,0,0,False,0,1.0,-0.0002071838521331415
2006-02-15,5792.2998046875,5814.5,5780.89990234375,5791.5,1844068100,-0.00013809021258204268,0.006617035325015816,0.10504217931912783,1.9068906810953738e-08,0.0007666954541619644,0,0,0,0,False,0,1.0,-0.00013809021258204268
2006-02-16,5791.5,5828.89990234375,5791.5,5828.89990234375,1895566300,0.006436961170880551,0.006525006939114264,0.10358127398320269,4.143446911542391e-05,0.0013690887232956903,0,0,0,0,False,0,1.0,0.006436961170880551
2006-02-17,5828.89990234375,5863.2998046875,5822.39990234375,5846.2001953125,1741254400,0.00296362437778086,0.006477582280934957,0.10282843087387454,8.78306945257699e-06,0.001262828400872165,0,0,0,0,False,0,1.0,0.00296362437778086
2006-02-20,5846.2001953125,5866.7001953125,5839.39990234375,5863.0,1094531500,0.002869507043152808,0.0063855151426820125,0.10136691036344239,8.234070670703572e-06,0.0015737679330029273,0,0,0,0,False,0,1.0,0.002869507043152808
2006-02-21,5863.0,5888.0,5856.89990234375,5857.7001953125,1676916800,-0.0009043495628056064,0.0063584349946052,0.10093702633977408,8.178481317466914e-07,0.0016273426426348606,0,0,0,0,False,0,1.0,-0.0009043495628056064
2006-02-22,5857.7001953125,5877.60009765625,5836.7998046875,5872.39990234375,1842925400,0.0025063238341953564,0.006186803997639663,0.09821246872832874,6.281659161855712e-06,0.001975202707376817,0,0,0,0,False,0,1.0,0.0025063238341953564
2006-02-23,5872.39990234375,5878.7998046875,5829.39990234375,5836.0,2099116600,-0.006217761592928639,0.005942459727233244,0.09433362368565532,3.866055922649849e-05,0.0010860876618822026,0,0,0,0,False,0,1.0,-0.006217761592928639
2006-02-24,5836.0,5864.0,5836.0,5860.5,2014904800,0.004189293520557413,0.0059641890844474195,0.09467856653768329,1.7550180201384325e-05,0.0011338885497296012,0,0,0,0,False,0,1.0,0.004189293520557413
2006-02-27,5860.5,5893.2998046875,5860.5,5875.89990234375,2036067300,0.0026242989860740806,0.005521503597587284,0.08765115229418646,6.886945168309448e-06,0.0007276092926312335,0,0,0,0,False,0,1.0,0.0026242989860740806
2006-02-28,5875.89990234375,5877.39990234375,5788.7001953125,5791.5,2134114600,-0.014467897776906824,0.0064362957475234085,0.10217302747445704,0.00020932006608302543,9.629900823942841e-05,1,0,0,0,False,0,1.0,-0.014467897776906824
